HDI rank,Country,1990,2000,2010,2015,2020,2021,2022,2023
71,Albania,0.654,0.682,0.769,0.797,0.794,0.794,0.806,0.810
72,Trinidad and Tobago,0.661,0.714,0.789,0.808,0.800,0.796,0.805,0.807
73,Mauritius,0.627,0.683,0.755,0.792,0.795,0.789,0.794,0.806
74,Bosnia and Herzegovina,..,0.674,0.725,0.769,0.783,0.783,0.799,0.804
75,Iran,0.626,0.710,0.778,0.788,0.775,0.777,0.793,0.799
76,Saint Vincent and the grenadines,..,0.700,0.746,0.765,0.781,0.781,0.794,0.798
76,Thailand,0.584,0.657,0.742,0.788,0.798,0.800,0.792,0.798
78,China,0.491,0.598,0.710,0.750,0.786,0.794,0.796,0.797
79,Peru,0.625,0.682,0.731,0.768,0.769,0.764,0.790,0.794
80,Grenada,..,..,0.771,0.782,0.782,0.782,0.789,0.791
81,Azerbaijan,..,0.652,0.744,0.771,0.757,0.765,0.784,0.789
81,Mexico,0.668,0.712,0.751,0.773,0.763,0.761,0.783,0.789
83,Colombia,0.623,0.679,0.741,0.767,0.764,0.762,0.782,0.788
84,Brazil,0.641,0.690,0.748,0.764,0.770,0.768,0.780,0.786
84,Palau,..,0.736,0.779,0.802,0.799,0.789,0.786,0.786
86,Moldova,..,..,0.739,0.759,0.770,0.773,0.784,0.785
87,Ukraine,0.750,0.716,0.782,0.778,0.783,0.772,0.772,0.779
88,Ecuador,0.646,0.683,0.737,0.764,0.740,0.753,0.773,0.777
89,Dominican Republic,0.589,0.658,0.715,0.747,0.767,0.762,0.778,0.776
89,Guyana,0.494,0.567,0.647,0.683,0.722,0.713,0.763,0.776
89,Sri Lanka,0.638,0.702,0.748,0.769,0.780,0.777,0.777,0.776
92,Tonga,0.641,0.688,0.724,0.743,0.765,0.763,0.764,0.769
93,Maldives,..,0.639,0.689,0.725,0.730,0.745,0.764,0.766
93,Vietnam,0.499,0.604,0.686,0.717,0.755,0.754,0.764,0.766
95,Turkmenistan,..,..,0.700,0.725,0.744,0.754,0.761,0.764
96,Algeria,0.595,0.651,0.718,0.737,0.742,0.755,0.761,0.763
97,Cuba,0.687,0.697,0.783,0.769,0.762,0.745,0.764,0.762
98,Dominica,..,0.721,0.747,0.741,0.753,0.749,0.759,0.761
99,Paraguay,0.607,0.664,0.709,0.737,0.742,0.723,0.747,0.756
100,Egypt,0.572,0.639,0.677,0.706,0.736,0.738,0.751,0.754
100,Jordan,0.619,0.672,0.732,0.743,0.743,0.736,0.751,0.754
102,Lebanon,..,..,0.750,0.763,0.750,0.733,0.755,0.752
103,Saint Lucia,0.683,0.710,0.749,0.757,0.734,0.724,0.747,0.748
104,Mongolia,0.593,0.611,0.714,0.753,0.741,0.727,0.742,0.747
105,Tunisia,0.569,0.654,0.717,0.728,0.733,0.728,0.745,0.746
106,South Africa,0.633,0.618,0.669,0.722,0.724,0.721,0.737,0.741
107,Uzbekistan,..,0.603,0.681,0.707,0.723,0.727,0.737,0.740
108,Bolivia,0.552,0.630,0.677,0.704,0.697,0.693,0.727,0.733
108,Gabon,0.621,0.652,0.684,0.720,0.732,0.720,0.730,0.733
108,Marshall Islands,..,..,..,0.691,0.722,0.723,0.732,0.733
111,Botswana,0.590,0.594,0.652,0.690,0.718,0.700,0.729,0.731
111,Fiji,0.629,0.668,0.697,0.715,0.718,0.705,0.726,0.731
113,Indonesia,0.531,0.600,0.670,0.701,0.710,0.707,0.726,0.728
114,Suriname,..,..,0.707,0.718,0.714,0.697,0.719,0.722
115,Belize,0.617,0.671,0.727,0.721,0.713,0.713,0.717,0.721
115,Libya,0.690,0.727,0.755,0.728,0.688,0.729,0.741,0.721
117,Jamaica,0.662,0.659,0.708,0.713,0.711,0.703,0.718,0.720
117,Kyrgyzstan,0.649,0.627,0.668,0.695,0.700,0.704,0.717,0.720
117,Philippines,0.593,0.632,0.669,0.690,0.699,0.690,0.714,0.720
120,Morocco,0.451,0.528,0.607,0.659,0.683,0.690,0.704,0.710
121,Venezuela,0.658,0.703,0.764,0.768,0.699,0.696,0.706,0.709
122,Samoa,..,0.676,0.708,0.708,0.708,0.706,0.703,0.708
123,Nicaragua,0.515,0.593,0.651,0.679,0.676,0.682,0.701,0.706
124,Nauru,..,..,0.616,0.660,0.684,0.692,0.700,0.703
